	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ppt1	0.000163993	0.406788291	0.038	0.028	1	RIR	Ppt1
Dpm3	0.000166856	-1.073060844	0.023	0.031	1	RIR	Dpm3
Rel	0.000168373	0.466722188	0.022	0.015	1	RIR	Rel
Xylt1	0.000168528	0.640609402	0.017	0.01	1	RIR	Xylt1
Wdr89	0.000170168	-0.267943274	0.171	0.187	1	RIR	Wdr89
Gsk3b	0.000171296	0.198014531	0.078	0.064	1	RIR	Gsk3b
Smchd1	0.000171597	0.316225857	0.039	0.029	1	RIR	Smchd1
Phgdh	0.000171967	-0.596796702	0.038	0.048	1	RIR	Phgdh
Msrb1	0.000173325	0.691916308	0.028	0.02	1	RIR	Msrb1
Twf2	0.000173417	1.205101335	0.011	0.006	1	RIR	Twf2
1190007I07Rik	0.000174293	-1.274867418	0.007	0.011	1	RIR	1190007I07Rik
Irf6	0.000180548	-0.386953635	0.087	0.1	1	RIR	Irf6
Fam160a2	0.000181971	0.304505249	0.037	0.027	1	RIR	Fam160a2
Fah	0.000184191	-0.419875822	0.013	0.019	1	RIR	Fah
Erap1	0.000184921	0.394621856	0.024	0.017	1	RIR	Erap1
Lyst	0.000184946	0.316563724	0.027	0.019	1	RIR	Lyst
Oaz1	0.000189192	-0.232633251	0.181	0.197	1	RIR	Oaz1
Ncdn	0.000191291	-1.304233071	0.01	0.015	1	RIR	Ncdn
Mmp2	0.000194285	0.329143793	0.064	0.051	1	RIR	Mmp2
Gpc6	0.000195198	-0.457996386	0.049	0.06	1	RIR	Gpc6
Mlana	0.000196385	-0.678864296	0.077	0.089	1	RIR	Mlana
Naca	0.000197876	-0.287043797	0.254	0.268	1	RIR	Naca
